name,kind
Foldex,cat
Foreign White,cat
German Rex,cat
Havana Brown,cat
Himalayan,cat
Japanese Bobtail,cat
Javanese,cat
Khao Manee,cat
Kinkalow,cat
Korat,cat
Kurilian Bobtail,cat
LaPerm,cat
Lykoi (Wolf Cat),cat
Maine Coon,cat
Manx,cat
Mekong Bobtail,cat
Minskin,cat
Minuet (Napoleon),cat
Munchkin,cat
Nebelung,cat
Norwegian Forest Cat,cat
Ocicat,cat
Ojos Azules,cat
Oriental Longhair,cat
Oriental Shorthair,cat
Persian (including Traditional/Doll Face),cat
Peterbald,cat
Pixie-bob,cat
Ragamuffin,cat
Ragdoll,cat
Raas,cat
Russian Blue,cat
Savannah,cat
Scottish Fold,cat
Scottish Straight,cat
Selkirk Rex,cat
Serengeti,cat
Seychellois,cat
Siamese,cat
Siberian (including Neva Masquerade),cat
Singapura,cat
Snowshoe,cat
Somali,cat
Sphynx,cat
Suphalak,cat
Thai,cat
Tibetan,cat
Tonkinese,cat
Toyger,cat
Turkish Angora,cat
Turkish Van,cat
Ukrainian Levkoy,cat
York Chocolate,cat
